"Pred","Year","Site","Area","PredSize","Prey","PreySize"
"Haustrum haustorium",1969,"LeighHarbour","General",30.1,"Nerita atramentosa",12.6
"Haustrum haustorium",1969,"Whangarei","Area_01",43.2,"Nerita atramentosa",14
"Haustrum haustorium",1969,"Whangarei","Area_02",NA,"Nerita atramentosa",NA
"Haustrum haustorium",1969,"LeighHarbour","General",36.4,"Nerita atramentosa",26.1
"Haustrum haustorium",1969,"Whangarei","Area_01",35.1,"Nerita atramentosa",11.2
"Haustrum haustorium",1969,"Whangarei","Area_01",40.9,"Nerita atramentosa",15
"Haustrum haustorium",1969,"Whangarei","Area_02",35.1,"Nerita atramentosa",16.1
"Haustrum haustorium",1969,"Whangarei","Area_02",NA,"Nerita atramentosa",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",40.5,"Nerita atramentosa",14.3
"Haustrum haustorium",1969,"Whangarei","Area_02",43.7,"Nerita atramentosa",15.8
"Haustrum haustorium",1969,"WaikukuBay","General",40.2,"Nerita atramentosa",21.5
"Haustrum haustorium",1969,"Whangarei","Area_01",42.1,"Nerita atramentosa",11
"Haustrum haustorium",1969,"LeighHarbour","General",37,"Nerita atramentosa",14.7
"Haustrum haustorium",1969,"LeighHarbour","General",32,"Nerita atramentosa",15.1
"Haustrum haustorium",1969,"WaikukuaBay-2","General",40.7,"Nerita atramentosa",15.5
"Haustrum haustorium",1969,"LeighHarbour","General",36.4,"Nerita atramentosa",13.2
"Haustrum haustorium",1969,"LeighHarbour","General",32.9,"Nerita atramentosa",17.3
"Haustrum haustorium",1969,"LeighHarbour","General",35.1,"Nerita atramentosa",6.3
"Haustrum haustorium",1969,"Whangarei","Area_01",49.3,"Nerita atramentosa",14.2
"Haustrum haustorium",1969,"WaikukuBay","General",35,"Nerita atramentosa",19
"Haustrum haustorium",1969,"Whangarei","Area_01",41.2,"Nerita atramentosa",9.9
"Haustrum haustorium",1969,"Whangarei","Area_01",52.1,"Nerita atramentosa",14
"Haustrum haustorium",1969,"Whangarei","Area_03",47.6,"Nerita atramentosa",14.4
"Haustrum haustorium",1969,"Whangarei","Area_02",44.2,"Nerita atramentosa",13.2
"Haustrum haustorium",1969,"Whangarei","Area_01",24.1,"Nerita atramentosa",8.1
"Haustrum haustorium",1969,"WaikukuBay","General",32.6,"Nerita atramentosa",19.2
"Haustrum haustorium",1969,"Whangarei","Area_01",43,"Nerita atramentosa",14.1
"Haustrum haustorium",1969,"WaikukuBay","General",48.9,"Nerita atramentosa",19
"Haustrum haustorium",1969,"LeighHarbour","General",43.1,"Nerita atramentosa",7.8
"Haustrum haustorium",1969,"Whangarei","Area_02",36.7,"Nerita atramentosa",15.4
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Nerita atramentosa",NA
"Haustrum haustorium",1969,"Whangarei","Area_01",44.2,"Nerita atramentosa",20.6
"Haustrum haustorium",1969,"Whangarei","Area_02",NA,"Nerita atramentosa",NA
"Haustrum haustorium",1969,"Whangarei","Area_02",39.8,"Nerita atramentosa",15
"Haustrum haustorium",1969,"Whangarei","Area_02",47.9,"Nerita atramentosa",16.9
"Haustrum haustorium",1969,"LeighHarbour","General",20.1,"Nerita atramentosa",10.9
"Haustrum haustorium",1969,"Whangarei","Area_03",37.1,"Nerita atramentosa",15.3
"Haustrum haustorium",1969,"LeighHarbour","General",29,"Nerita atramentosa",8.4
"Haustrum haustorium",1969,"Whangarei","Area_02",41.1,"Nerita atramentosa",16.5
"Haustrum haustorium",1969,"Whangarei","Area_03",31.4,"Nerita atramentosa",11.1
"Haustrum haustorium",1969,"Whangarei","Area_02",38.8,"Nerita atramentosa",16
"Haustrum haustorium",1969,"Whangarei","Area_02",42.3,"Nerita atramentosa",18.6
"Haustrum haustorium",1969,"Whangarei","Area_02",43,"Nerita atramentosa",17.8
"Haustrum haustorium",1969,"Whangarei","Area_02",NA,"Nerita atramentosa",NA
"Haustrum haustorium",1969,"WaikukuaBay-2","General",46.9,"Nerita atramentosa",16.2
"Haustrum haustorium",1969,"Whangarei","Area_01",51.4,"Nerita atramentosa",14.9
"Haustrum haustorium",1969,"Whangarei","Area_01",37.7,"Nerita atramentosa",14.8
"Haustrum haustorium",1969,"Whangarei","Area_01",48.1,"Nerita atramentosa",13.4
"Haustrum haustorium",1969,"Whangarei","Area_02",47.6,"Nerita atramentosa",20.1
"Haustrum haustorium",1969,"Whangarei","Area_01",31,"Nerita atramentosa",10.4
"Haustrum haustorium",1969,"Whangarei","Area_03",48.9,"Nerita atramentosa",15
"Haustrum haustorium",1969,"WaikukuBay","General",27.6,"Nerita atramentosa",16.2
"Haustrum haustorium",1969,"Whangarei","Area_01",59.1,"Nerita atramentosa",18
"Haustrum haustorium",1969,"LeighHarbour","General",42.1,"Nerita atramentosa",14.9
"Haustrum haustorium",1969,"Whangarei","Area_03",41.2,"Nerita atramentosa",15.6
"Haustrum haustorium",1969,"WaikukuaBay-2","General",39.1,"Nerita atramentosa",14.6
"Haustrum haustorium",2004,"TapotupotuBayWest","Area_01",25,"UNID Snail",6
"Haustrum haustorium",2004,"TaurangaBayNorth","Area_01",26,"UNID Diloma",4
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_01",33,"UNID Diloma",6
"Haustrum haustorium",1969,"Whangarei","Area_01",32.1,"Nerita atramentosa",11.8
"Haustrum haustorium",1969,"Whangarei","Area_02",29.6,"Nerita atramentosa",16.4
"Haustrum haustorium",2004,"TaurangaHeadWest","Area_01",28,"UNID Snail",3
"Haustrum haustorium",1969,"WaikukuBay","General",42.1,"Nerita atramentosa",16.9
"Haustrum haustorium",2004,"Opunake","Area_01",39,"Haustrum scobina",17
"Haustrum haustorium",2004,"Rangitoto Island - Whites Beach","Area_02",54,"Haustrum scobina",11
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",38.7,"Haustrum scobina",15.1
"Haustrum haustorium",1969,"LeighHarbour","General",27.9,"Haustrum scobina",17
"Haustrum haustorium",2004,"Leigh - Tabletop Rocks and Boulders","Area_03",26,"Haustrum scobina",14
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_05",33,"Haustrum scobina",12
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",33.6,"Haustrum scobina",15.5
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",30.1,"Haustrum scobina",10.1
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",40,"Haustrum scobina",11
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",28.8,"Haustrum scobina",13.6
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_01",27.3,"Haustrum scobina",12
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","General",56,"Dicathais orbita",21
"Haustrum haustorium",1969,"Red Beach - Whangaparaoa","Area_04",25,"Haustrum scobina",11.1
"Haustrum haustorium",2004,"Rangitoto Island - Whites Beach","Area_03",47,"Haustrum scobina",11
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_05",36.1,"Haustrum scobina",15.5
"Haustrum haustorium",2004,"Leigh - Tabletop Rocks and Boulders","Area_11",28,"Haustrum scobina",12
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",34,"Haustrum scobina",13
"Haustrum haustorium",2004,"LeighShadowRocks","General",34,"Haustrum scobina",11
