monthly mean,year,month,month,,40-year average 1967-2006,,monthly mean anomalies,5MRM Anaom-alies,,30-year average 1967-1996,35-year average 1967-2001
19.58,2003,1,Jan-03,,,,-0.25,-0.50,,,
20.22,2003,2,Feb-03,,,,-0.30,-0.19,,,
20.24,2003,3,Mar-03,,,,-0.13,0.14,,,
19.70,2003,4,Apr-03,,,,0.52,0.39,,,
18.25,2003,5,May-03,,,,0.83,0.51,,,
16.66,2003,6,Jun-03,,,,1.01,0.54,,,
14.69,2003,7,Jul-03,,,,0.31,0.50,,,
14.02,2003,8,Aug-03,,,,0.05,0.32,,,
14.67,2003,9,Sep-03,,,,0.29,0.06,,,
15.24,2003,10,Oct-03,,,,-0.04,-0.03,,,
16.34,2003,11,Nov-03,,,,-0.29,0.04,,,
18.04,2003,12,Dec-03,,,,-0.15,-0.34,,,
20.22,2004,1,Jan-04,,,,0.39,-0.71,,,
18.91,2004,2,Feb-04,,,,-1.60,-0.91,,,
18.50,2004,3,Mar-04,,,,-1.88,-0.95,,,
17.88,2004,4,Apr-04,,,,-1.30,-1.03,,,
17.06,2004,5,May-04,,,,-0.35,-0.80,,,
15.61,2004,6,Jun-04,,,,-0.04,-0.57,,,
13.96,2004,7,Jul-04,,,,-0.43,-0.45,,,
13.26,2004,8,Aug-04,,,,-0.71,-0.47,,,
